Energy_TIFF,Energy_TXT
461.877,460.0
462.214,460.2
462.251,460.4
462.572,460.6
462.582,460.8
462.993,461.0
463.222,461.2
463.155,461.4
463.532,461.6
463.849,461.8
464.032,462.0
464.146,462.2
464.464,462.4
464.555,462.6
464.764,462.8
464.769,463.0
465.082,463.2
465.451,463.4
465.468,463.6
465.612,463.8
466.029,464.0
466.269,464.2
466.449,464.4
466.668,464.6
466.697,464.8
467.019,465.0
467.017,465.2
467.428,465.4
467.648,465.6
467.855,465.8
467.806,466.0
468.087,466.2
468.291,466.4
468.561,466.6
468.643,466.8
469.024,467.0
469.24,467.2
469.229,467.4
469.484,467.6
469.816,467.8
469.817,468.0
470.026,468.2
470.422,468.4
470.488,468.6
470.924,468.8
471.0,469.0
471.306,469.2
471.507,469.4
471.714,469.6
471.87,469.8
472.151,470.0
472.062,470.2
472.264,470.4
472.735,470.6
472.737,470.8
473.072,471.0
473.158,471.2
473.537,471.4
473.746,471.6
473.941,471.8
474.064,472.0
474.326,472.2
474.419,472.4
474.77,472.6
474.739,472.8
474.997,473.0
475.343,473.2
475.308,473.4
475.572,473.6
475.995,473.8
476.09,474.0
476.354,474.2
476.542,474.4
476.552,474.6
476.961,474.8
476.905,475.0
477.178,475.2
477.548,475.4
477.578,475.6
477.972,475.8
477.981,476.0
478.417,476.2
478.316,476.4
478.555,476.6
479.037,476.8
479.221,477.0
479.416,477.2
479.624,477.4
479.594,477.6
479.928,477.8
479.93,478.0
480.441,478.2
480.447,478.4
480.621,478.6
480.876,478.8
481.121,479.0
481.238,479.2
481.633,479.4
481.846,479.6
482.051,479.8
482.193,480.0
482.222,480.2
482.363,480.4
482.571,480.6
482.857,480.8
483.127,481.0
483.191,481.2
483.566,481.4
483.553,481.6
483.963,481.8
483.995,482.0
484.139,482.2
484.422,482.4
484.771,482.6
484.823,482.8
485.004,483.0
485.47,483.2
485.493,483.4
485.895,483.6
485.85,483.8
486.019,484.0
486.173,484.2
486.691,484.4
486.808,484.6
486.91,484.8
487.095,485.0
487.428,485.2
487.424,485.4
487.679,485.6
487.877,485.8
488.345,486.0
488.367,486.2
488.649,486.4
488.718,486.6
488.862,486.8
489.024,487.0
489.262,487.2
489.734,487.4
489.693,487.6
489.899,487.8
490.036,488.0
490.378,488.2
490.589,488.4
490.941,488.6
490.912,488.8
491.284,489.0
491.556,489.2
491.622,489.4
491.928,489.6
492.123,489.8
492.389,490.0
492.561,490.2
492.733,490.4
492.684,490.6
492.863,490.8
493.368,491.0
493.272,491.2
493.784,491.4
493.907,491.6
494.21,491.8
494.26,492.0
494.266,492.2
494.808,492.4
494.663,492.6
494.881,492.8
495.351,493.0
495.471,493.2
495.599,493.4
495.672,493.6
495.926,493.8
496.436,494.0
496.603,494.2
496.775,494.4
496.75,494.6
497.222,494.8
497.112,495.0
497.445,495.2
497.83,495.4
497.8,495.6
498.163,495.8
498.369,496.0
498.313,496.2
498.512,496.4
498.746,496.6
498.953,496.8
499.251,497.0
499.318,497.2
499.613,497.4
500.04,497.6
500.253,497.8
500.468,498.0
500.36,498.2
500.619,498.4
501.046,498.6
500.994,498.8
501.499,499.0
501.595,499.2
501.605,499.4
501.844,499.6
501.964,499.8
502.146,500.0
502.71,500.2
502.605,500.4
502.862,500.6
503.106,500.8
503.256,501.0
503.342,501.2
503.595,501.4
503.993,501.6
503.958,501.8
504.204,502.0
504.368,502.2
504.568,502.4
504.789,502.6
505.044,502.8
505.423,503.0
505.749,503.2
505.901,503.4
506.124,503.6
506.232,503.8
506.2,504.0
506.37,504.2
506.718,504.4
507.157,504.6
507.065,504.8
507.475,505.0
