# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
Photon energy (eV),Intensity
854.968,1595.5232558139535
855.811,1624.7796369824164
855.957,1618.569200226886
856.136,1632.5321894498015
856.625,1671.4049914917755
857.837,1679.8190584231425
858.12,1691.305019852524
858.224,1703.7921157118549
859.344,1700.8979013045944
859.126,1722.0372943845719
859.993,1746.5679239931935
860.448,1823.4705048213273
860.712,1961.1684628474193
861.864,2203.031622234827
862.365,2864.4849688031763
862.827,4865.1934203062965
863.37,6532.974191718661
863.416,4674.530204197391
863.674,3624.194554736245
864.129,3365.733692569484
864.629,3360.172716959728
865.476,2781.136415201361
866.018,2636.843306863301
866.605,2402.430090754396
867.335,2221.3713840045375
867.806,2062.032473057289
867.903,1978.2889960294951
868.873,1952.837492909813
869.152,2014.4004537719795
869.666,2010.545802609189
869.975,1974.7378048780488
870.119,1946.867129892229
870.627,1937.5660805445264
871.111,1963.2373794668179
872.408,1808.2390811117414
872.86,2013.7970788428815
873.283,2045.6988088485537
873.744,2056.982132728304
873.702,2081.1813669880885
874.653,2108.527935337493
874.839,2162.3664208735113
875.117,2224.6758366420872
875.637,2261.7090187180943
876.142,2324.7142654566082
876.799,2354.504112308565
877.867,2373.3793250141803
877.614,2378.4186046511627
878.804,2393.9167612024958
878.799,2431.9332104367554
879.704,2645.079835507657
879.873,3289.14066931367
880.785,3852.0090754395915
880.755,3402.9536301758367
881.578,3679.9186046511627
882.129,3457.893363584799
882.74,2985.8383437322746
883.184,2788.5351673284176
883.591,2746.910947249007
884.326,2710.2067498581964
884.119,2681.225893363585
884.63,2649.5266591038003
885.131,2628.5544526375497
885.802,2599.2168179239934
886.778,2589.117980714691
886.655,2613.9757515598412
887.894,2555.536018150879
888.325,2550.0507657402154
888.214,2590.3584798638685
888.832,2633.4041406693136
889.524,2644.4659671015315
890.391,2663.493760635281
