# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
# Note: This file contains the Intensity vs. energies (theoretical input values for monochromator)
Photon energy (eV),Intensity
855.0,2021.7256693923362
855.5,2046.9111752445085
856.0,2020.4476511143178
856.5,2005.7359307359307
857.0,2044.2097162097161
857.5,1998.1515151515152
858.0,2039.8193041526374
858.5,2004.4555074555074
859.0,2010.1595318261984
859.5,2004.4941478274811
860.0,2061.9020362353695
860.5,2036.0198813532147
861.0,2065.3942600609266
861.5,2126.514349847683
862.0,2234.4420394420395
862.5,2473.4146224146225
863.0,3126.3036716370048
863.5,4859.291486291486
864.0,7881.176687510021
864.5,6563.629308962642
865.0,4503.518839185506
865.5,4008.938271604938
866.0,4195.829244829245
866.5,3510.274330607664
867.0,3217.4487734487734
867.5,3169.3650793650795
868.0,2855.666987333654
868.5,2535.9159852493185
869.0,2427.5507455507454
869.5,2396.1991341991343
870.0,2422.8589065255733
870.5,2342.8712522045857
871.0,2242.0700657367324
871.5,2190.0604457271124
872.0,2157.345037678371
872.5,2187.2077922077924
873.0,2199.8601891935227
873.5,2202.172679172679
874.0,2253.611191277858
874.5,2220.207952541286
875.0,2274.6278659611994
875.5,2243.5305435305436
876.0,2366.8335738335736
876.5,2403.951418951419
877.0,2493.114157447491
877.5,2649.916145582812
878.0,2612.40051306718
878.5,2630.412858746192
879.0,2613.927368927369
879.5,2631.866602533269
880.0,2718.2759339426007
880.5,2873.7487574154243
881.0,3698.950937950938
881.5,4416.7147667147665
882.0,3920.8144941478276
882.5,4223.462722462722
883.0,4080.8075998075997
883.5,3398.771845438512
884.0,3129.07215007215
884.5,3028.7586980920314
885.0,2955.0378387045052
885.5,2894.679333012666
886.0,2851.4636844636843
886.5,2828.1484688151354
887.0,2883.723585056918
887.5,2804.587622254289
888.0,2810.221741221741
888.5,2857.1609748276414
889.0,2821.8130511463846
889.5,2879.5199615199617
890.0,2868.427288760622
