Index,Mean_intensity
450.0000,2622.170
450.5000,2622.930
451.0000,2676.043
451.5000,2692.745
452.0000,2719.441
452.5000,2754.037
453.0000,2695.094
453.5000,2735.440
454.0000,2740.225
454.5000,2748.383
455.0000,2751.203
455.5000,2789.882
456.0000,2766.188
456.5000,2773.380
457.0000,2783.961
457.5000,2781.996
458.0000,2785.880
458.5000,2799.565
459.0000,2806.029
459.5000,2806.420
460.0000,2813.673
460.5000,2816.543
461.0000,2826.083
461.5000,2805.728
462.0000,2849.598
462.5000,2866.247
463.0000,2878.779
463.5000,2907.488
464.0000,2973.087
464.5000,2985.149
465.0000,3034.051
465.5000,3031.321
466.0000,3008.624
466.5000,2973.067
467.0000,2927.102
467.5000,2908.693
468.0000,2897.969
468.5000,2850.948
469.0000,2836.783
469.5000,2817.913
470.0000,2810.655
470.5000,2799.526
471.0000,2799.626
471.5000,2771.307
472.0000,2765.361
472.5000,2797.992
473.0000,2796.591
473.5000,2799.260
474.0000,2816.253
474.5000,2762.457
475.0000,2775.188
475.5000,2766.610
476.0000,2725.302
476.5000,2741.547
477.0000,2720.355
477.5000,2711.436
478.0000,2679.142
478.5000,2650.751
479.0000,2613.606
479.5000,2603.265
480.0000,2561.154
480.5000,2583.639
481.0000,2609.855
481.5000,2590.378
482.0000,2583.966
482.5000,2588.556
483.0000,2563.801
483.5000,2492.231
484.0000,2482.986
484.5000,2469.868
485.0000,2471.369
485.5000,2477.691
486.0000,2508.148
486.5000,2520.087
487.0000,2529.211
487.5000,2521.392
488.0000,2502.051
488.5000,2499.338
489.0000,2488.796
489.5000,2450.629
490.0000,2412.727
490.5000,2368.110
491.0000,2328.067
491.5000,2307.312
492.0000,2318.873
492.5000,2318.949
493.0000,2284.901
493.5000,2273.412
494.0000,2281.281
494.5000,2288.268
495.0000,2284.352
495.5000,2260.733
496.0000,2232.484
496.5000,2172.298
497.0000,2138.816
497.5000,2102.447
498.0000,2113.567
498.5000,2092.112
499.0000,2106.447
499.5000,2093.995
500.0000,2095.375
