# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
# Note: This file contains the Intensity vs. energies (actual output = what the monochromator used)
Photon energy (eV),Intensity
855.029,2113.686384976526
855.22,2139.6093896713614
856.321,2112.800938967136
856.202,2097.752488262911
856.631,2138.063098591549
857.848,2090.772394366197
858.231,2135.0512676056337
858.72,2098.0574647887324
858.668,2104.5188732394367
859.856,2100.0508920187795
859.671,2162.1220657276995
860.147,2136.86779342723
860.64,2170.862910798122
861.198,2240.0779342723004
862.25,2362.7692018779344
862.603,2633.063098591549
863.142,3372.009765258216
863.174,5330.88469483568
864.361,8746.324319248826
864.773,7265.160563380282
865.288,4936.529765258216
865.81,4375.228544600939
865.656,4587.579718309859
866.879,3811.9023474178402
866.625,3478.764131455399
867.798,3421.219530516432
867.976,3065.020281690141
868.709,2705.854647887324
869.397,2582.774835680751
869.48,2546.7353990610327
869.812,2575.220657276995
870.71,2488.1384037558687
871.074,2375.5444131455397
871.75,2315.4452582159624
871.737,2279.1727699530516
872.854,2312.3023474178403
873.19,2327.413896713615
873.807,2330.3260093896715
873.892,2385.9138028169014
874.258,2351.889014084507
875.388,2410.9921126760564
875.771,2380.0860093896713
876.317,2515.8388732394365
876.591,2561.6803755868546
877.297,2662.440938967136
877.748,2835.687887323944
877.837,2798.1767136150233
878.298,2816.9340845070424
879.259,2799.0493896713615
879.19,2819.251267605634
880.397,2916.4313615023475
880.712,3093.6846948356806
880.657,4022.480751173709
881.918,4834.501408450704
881.615,4274.746103286385
882.793,4615.067230046949
883.229,4453.7464788732395
883.14,3687.0413145539906
884.376,3382.2561502347417
884.663,3269.207511737089
885.186,3186.04882629108
885.57,3117.685633802817
885.784,3069.657840375587
886.883,3043.7376525821596
887.054,3104.669483568075
887.681,3018.063098591549
887.618,3023.662159624413
888.193,3074.6523943661973
889.392,3037.64882629108
889.814,3100.5727699530516
889.916,3090.58441314554
