Photon_energy_(eV),Mean_intensity
450.0890,2736.441
450.5130,2736.298
450.9060,2792.400
451.4630,2810.816
451.8630,2836.905
452.3480,2869.624
452.9180,2810.847
453.6360,2852.468
453.9850,2858.025
454.5240,2868.207
455.0640,2871.367
455.5530,2909.735
456.1380,2884.731
456.5660,2892.353
456.8530,2902.001
457.6020,2899.700
457.8900,2903.390
458.3940,2919.024
459.0480,2924.884
459.6430,2923.577
459.8850,2932.326
460.6380,2935.859
460.9460,2943.502
461.6090,2922.992
461.9160,2967.002
462.4000,2982.932
463.0730,2992.866
463.4250,3017.634
463.9920,3081.653
464.6170,3091.655
464.8880,3138.137
465.5180,3133.549
465.8370,3110.817
466.4940,3077.293
467.0650,3033.268
467.6010,3015.251
468.1230,3005.061
468.4310,2957.267
469.1510,2943.615
469.5110,2924.666
469.8570,2918.513
470.4520,2905.845
470.8440,2906.545
471.6480,2877.774
471.8730,2869.614
472.6440,2906.441
473.0130,2905.578
473.4140,2907.736
474.0730,2922.458
474.4660,2868.490
474.8420,2880.395
475.3060,2870.920
476.0890,2827.573
476.4380,2844.208
476.8540,2818.704
477.3370,2809.191
478.0590,2774.866
478.3490,2746.377
478.8720,2706.941
479.5090,2694.243
480.0550,2650.020
480.6430,2674.479
481.0740,2701.261
481.6480,2680.817
482.0040,2675.242
482.6620,2678.212
482.8690,2649.836
483.5700,2575.192
484.0620,2567.441
484.4950,2553.945
484.8930,2552.698
485.4480,2558.032
485.9840,2587.290
486.3510,2597.939
487.0620,2605.009
487.3670,2594.788
488.1150,2575.437
488.3250,2570.312
489.1270,2560.174
489.5770,2521.415
489.9880,2482.273
490.6890,2437.473
491.0560,2395.883
491.6480,2374.238
491.9040,2386.169
492.4910,2386.042
492.8460,2349.487
493.5780,2337.436
493.7920,2346.054
494.3990,2352.636
495.0250,2347.842
495.4440,2323.514
495.9480,2293.716
496.3610,2230.711
496.9260,2195.083
497.6060,2156.605
498.1410,2168.847
498.6690,2146.094
499.1290,2161.574
499.6120,2147.249
499.8510,2149.678
