# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
Photon energy (eV),Intensity
460.0,1114.1477442617183
460.2,1097.0000879430129
460.4,1101.2032363028757
460.6,1108.0426523612698
460.8,1112.991469527746
461.0,1134.802128220913
461.2,1144.7855069914694
461.4,1146.787265851728
461.6,1154.2894204555448
461.8,1151.556591328819
462.0,1141.8124175534253
462.2,1150.6430393105268
462.4,1160.7500659572597
462.6,1192.273414827192
462.8,1207.6218450444112
463.0,1230.7761850320992
463.2,1247.3581039486412
463.4,1263.4767390730806
463.6,1286.2048192771085
463.8,1284.6965086623868
464.0,1290.8142643566969
464.2,1287.6637938615777
464.4,1291.6228124175534
464.6,1294.1296280010554
464.8,1299.034121889016
465.0,1278.072904757717
465.2,1266.8028317650162
465.4,1282.920939231378
465.6,1306.2557382815935
465.8,1299.3488699322838
466.0,1295.7772403482543
466.2,1292.7377539354497
466.4,1288.5848210359686
466.6,1272.1856477002902
466.8,1265.8753847506816
467.0,1257.7894644270514
467.2,1258.1028053821124
467.4,1253.865271304195
467.6,1238.443584557207
467.8,1248.1220649019435
468.0,1243.6528009849617
468.2,1269.183449124967
468.4,1273.7584205434878
468.6,1289.725178084601
468.8,1272.0070354410343
469.0,1290.466625626594
469.2,1284.5685515785772
469.4,1282.7560460821387
469.6,1263.8108345791927
469.8,1275.341394776185
470.0,1255.837217483071
470.2,1265.7464602937296
470.4,1267.2436021458095
470.6,1281.8970187318619
470.8,1286.3483422742063
471.0,1299.3958315011873
471.2,1309.6321343769237
471.4,1313.1039486412803
471.6,1312.2180107290476
471.8,1314.8556855157858
472.0,1308.0301644534343
472.2,1304.2590801160848
472.4,1307.4030428282474
472.6,1310.6594846539442
472.8,1317.3185295928238
473.0,1315.9267434702313
473.2,1322.1995426963329
473.4,1315.4743646117315
473.6,1292.6058394160584
473.8,1307.64374285463
474.0,1313.5314396271217
474.2,1311.4367250021985
474.4,1309.1207457567496
474.6,1313.0599771348166
474.8,1320.7030164453433
475.0,1327.601530208425
475.2,1347.2603113182658
475.4,1352.1634860610325
475.6,1359.811714009322
475.8,1365.228475947586
476.0,1348.7202532758772
476.2,1373.1367513851023
476.4,1366.8830357928064
476.6,1358.7517368745052
476.8,1357.3564330313957
477.0,1361.6661683229268
477.2,1370.0084425292412
477.4,1380.6841966405768
477.6,1386.3309295576466
477.8,1413.803095594055
478.0,1406.4064726057516
478.2,1415.492304986369
478.4,1395.9021194266115
478.6,1391.6334535221176
478.8,1403.5728607862106
479.0,1402.6945739161024
479.2,1400.685164013719
479.4,1377.8922698091637
479.6,1398.3593351508223
479.8,1400.7750417729312
480.0,1409.7457567496263
480.2,1411.241755342538
480.4,1408.361094011081
480.6,1404.6029372966318
480.8,1414.0437076774251
481.0,1411.5054084952951
481.2,1411.426699498725
481.4,1393.8219153988216
481.6,1400.0107290475771
481.8,1430.764136839328
482.0,1430.0857444376045
482.2,1441.0371998944684
482.4,1434.092428106587
482.6,1437.1635740040454
482.8,1425.761850320992
483.0,1433.3107026646733
