# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
Photon energy (eV),Intensity
461.877,1114.1477442617183
462.214,1097.0000879430129
462.251,1101.2032363028757
462.572,1108.0426523612698
462.582,1112.991469527746
462.993,1134.802128220913
463.222,1144.7855069914694
463.155,1146.787265851728
463.532,1154.2894204555448
463.849,1151.556591328819
464.032,1141.8124175534253
464.146,1150.6430393105268
464.464,1160.7500659572597
464.555,1192.273414827192
464.764,1207.6218450444112
464.769,1230.7761850320992
465.082,1247.3581039486412
465.451,1263.4767390730806
465.468,1286.2048192771085
465.612,1284.6965086623868
466.029,1290.8142643566969
466.269,1287.6637938615777
466.449,1291.6228124175534
466.668,1294.1296280010554
466.697,1299.034121889016
467.019,1278.072904757717
467.017,1266.8028317650162
467.428,1282.920939231378
467.648,1306.2557382815935
467.855,1299.3488699322838
467.806,1295.7772403482543
468.087,1292.7377539354497
468.291,1288.5848210359686
468.561,1272.1856477002902
468.643,1265.8753847506816
469.024,1257.7894644270514
469.24,1258.1028053821124
469.229,1253.865271304195
469.484,1238.443584557207
469.816,1248.1220649019435
469.817,1243.6528009849617
470.026,1269.183449124967
470.422,1273.7584205434878
470.488,1289.725178084601
470.924,1272.0070354410343
471.0,1290.466625626594
471.306,1284.5685515785772
471.507,1282.7560460821387
471.714,1263.8108345791927
471.87,1275.341394776185
472.151,1255.837217483071
472.062,1265.7464602937296
472.264,1267.2436021458095
472.735,1281.8970187318619
472.737,1286.3483422742063
473.072,1299.3958315011873
473.158,1309.6321343769237
473.537,1313.1039486412803
473.746,1312.2180107290476
473.941,1314.8556855157858
474.064,1308.0301644534343
474.326,1304.2590801160848
474.419,1307.4030428282474
474.77,1310.6594846539442
474.739,1317.3185295928238
474.997,1315.9267434702313
475.343,1322.1995426963329
475.308,1315.4743646117315
475.572,1292.6058394160584
475.995,1307.64374285463
476.09,1313.5314396271217
476.354,1311.4367250021985
476.542,1309.1207457567496
476.552,1313.0599771348166
476.961,1320.7030164453433
476.905,1327.601530208425
477.178,1347.2603113182658
477.548,1352.1634860610325
477.578,1359.811714009322
477.972,1365.228475947586
477.981,1348.7202532758772
478.417,1373.1367513851023
478.316,1366.8830357928064
478.555,1358.7517368745052
479.037,1357.3564330313957
479.221,1361.6661683229268
479.416,1370.0084425292412
479.624,1380.6841966405768
479.594,1386.3309295576466
479.928,1413.803095594055
479.93,1406.4064726057516
480.441,1415.492304986369
480.447,1395.9021194266115
480.621,1391.6334535221176
480.876,1403.5728607862106
481.121,1402.6945739161024
481.238,1400.685164013719
481.633,1377.8922698091637
481.846,1398.3593351508223
482.051,1400.7750417729312
482.193,1409.7457567496263
482.222,1411.241755342538
482.363,1408.361094011081
482.571,1404.6029372966318
482.857,1414.0437076774251
483.127,1411.5054084952951
483.191,1411.426699498725
483.566,1393.8219153988216
483.553,1400.0107290475771
483.963,1430.764136839328
483.995,1430.0857444376045
484.139,1441.0371998944684
484.422,1434.092428106587
484.771,1437.1635740040454
484.823,1425.761850320992
485.004,1433.3107026646733
485.47,1438.9254243250373
485.493,1445.3141324421774
485.895,1447.6469967461085
485.85,1453.1366634420895
486.019,1456.420455544807
486.173,1456.6502506375869
486.691,1476.4462228475948
486.808,1485.4608213877407
486.91,1499.784891390379
487.095,1507.607422390291
487.428,1515.5587019611291
487.424,1514.0286694222143
487.679,1519.6335414651305
487.877,1532.822530999912
488.345,1548.7540233928414
488.367,1567.1210095857884
488.649,1575.8300940990239
488.718,1583.939495207106
488.862,1592.551666520095
489.024,1598.0346495470935
489.262,1592.1873186175358
489.734,1586.6382903878286
489.693,1564.8909506639698
489.899,1564.3106147216604
490.036,1549.9922610148624
490.378,1535.1925072552986
490.589,1539.3186175358367
490.941,1522.3011168762641
490.912,1546.5864040102015
491.284,1535.3210799401988
491.556,1527.0155659132881
491.622,1529.0821387740743
491.928,1551.2071057954445
492.123,1548.8162870459942
492.389,1531.094890510949
492.561,1537.4680327148008
492.733,1550.7457567496263
492.684,1542.8506727640488
492.863,1551.6433031395657
493.368,1561.4838624571278
493.272,1564.1187230674523
493.784,1574.0232169554129
493.907,1577.188198047665
494.21,1574.8120657813736
494.26,1559.3065693430658
494.266,1586.3517720517104
494.808,1588.616040805558
494.663,1605.200422126462
494.881,1615.7105795444552
495.351,1609.4187846275613
495.471,1620.3563450883828
495.599,1624.0274382200334
495.672,1610.5741799314044
495.926,1628.40462580248
496.436,1615.952598716032
496.603,1634.607510333304
496.775,1631.0201389499605
496.75,1629.493360302524
497.222,1623.019435405857
497.112,1622.4280186439187
497.445,1605.0730806437427
497.83,1617.143522997098
497.8,1618.2217043355906
498.163,1611.262685779615
498.369,1611.5594934482456
498.313,1610.7779438923578
498.512,1602.9383519479377
498.746,1609.2079852255738
498.953,1606.366986192947
499.251,1598.5132354234456
499.318,1600.7584205434878
499.613,1605.4723419224342
500.04,1614.355993316331
500.253,1618.295488523437
500.468,1617.3466713569608
500.36,1606.1674434966142
500.619,1613.2720077389852
501.046,1636.7257057426787
500.994,1623.754551050919
501.499,1629.3963591592649
501.595,1648.3885322311141
501.605,1634.9931404449917
501.844,1659.0371998944684
501.964,1658.1517016973
502.146,1666.7696772491427
502.71,1660.9339547972913
502.605,1673.3999648227948
502.862,1657.8643918740656
503.106,1647.5232609269194
503.256,1643.8514642511652
503.342,1650.2785155219417
503.595,1641.561340251517
503.993,1642.386421598804
503.958,1640.8132090405418
504.204,1629.9966581655087
504.368,1641.7549907659836
504.568,1646.7978190132794
504.789,1673.2520446750505
505.044,1631.2510773019083
505.423,1669.3257409198839
505.749,1660.7293114062088
505.901,1668.144666256266
506.124,1658.0517104916014
506.232,1643.3129891830094
506.2,1657.1816023216954
506.37,1669.3530032538915
506.718,1672.328115381233
507.157,1666.3902910913728
507.065,1664.2137015214141
507.475,1662.4255562395567
