# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
Photon energy (eV),Intensity
855.0,1595.5232558139535
855.5,1624.7796369824164
856.0,1618.569200226886
856.5,1632.5321894498015
857.0,1671.4049914917755
857.5,1679.8190584231425
858.0,1691.305019852524
858.5,1703.7921157118549
859.0,1700.8979013045944
859.5,1722.0372943845719
860.0,1746.5679239931935
860.5,1823.4705048213273
861.0,1961.1684628474193
861.5,2203.031622234827
862.0,2864.4849688031763
862.5,4865.1934203062965
863.0,6532.974191718661
863.5,4674.530204197391
864.0,3624.194554736245
864.5,3365.733692569484
865.0,3360.172716959728
865.5,2781.136415201361
866.0,2636.843306863301
866.5,2402.430090754396
867.0,2221.3713840045375
867.5,2062.032473057289
868.0,1978.2889960294951
868.5,1952.837492909813
869.0,2014.4004537719795
869.5,2010.545802609189
870.0,1974.7378048780488
870.5,1946.867129892229
871.0,1937.5660805445264
871.5,1963.2373794668179
872.0,1808.2390811117414
872.5,2013.7970788428815
873.0,2045.6988088485537
873.5,2056.982132728304
874.0,2081.1813669880885
874.5,2108.527935337493
875.0,2162.3664208735113
875.5,2224.6758366420872
876.0,2261.7090187180943
876.5,2324.7142654566082
877.0,2354.504112308565
877.5,2373.3793250141803
878.0,2378.4186046511627
878.5,2393.9167612024958
879.0,2431.9332104367554
879.5,2645.079835507657
880.0,3289.14066931367
880.5,3852.0090754395915
881.0,3402.9536301758367
881.5,3679.9186046511627
882.0,3457.893363584799
882.5,2985.8383437322746
883.0,2788.5351673284176
883.5,2746.910947249007
884.0,2710.2067498581964
884.5,2681.225893363585
885.0,2649.5266591038003
885.5,2628.5544526375497
886.0,2599.2168179239934
886.5,2589.117980714691
887.0,2613.9757515598412
887.5,2555.536018150879
888.0,2550.0507657402154
888.5,2590.3584798638685
889.0,2633.4041406693136
889.5,2644.4659671015315
890.0,2663.493760635281
