# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
Photon energy (eV),Intensity
855.308,398.18888888888887
855.349,397.2466049382716
855.555,398.2825617283951
856.031,404.8541666666667
856.084,396.27854938271605
855.639,393.85524691358023
856.357,391.6827160493827
856.789,385.92422839506173
856.538,388.1104938271605
857.08,388.7961419753086
857.207,394.3804012345679
857.436,390.0945987654321
857.582,385.48503086419754
857.545,390.92978395061726
858.15,387.33657407407406
857.813,388.56666666666666
858.472,380.62283950617285
858.605,378.8125
858.677,379.8524691358025
859.185,387.5942901234568
859.072,384.8756172839506
859.099,387.24243827160495
859.592,389.679012345679
859.548,397.5035493827161
859.452,396.3983024691358
859.685,393.86265432098764
859.959,393.80462962962963
860.783,396.99845679012344
860.974,397.025462962963
860.861,402.60092592592594
861.36,404.43765432098763
860.801,398.18503086419753
861.463,396.43904320987656
861.355,397.1695987654321
862.093,397.2146604938272
861.669,399.9256172839506
861.925,400.6956790123457
862.175,406.020987654321
862.219,398.3260802469136
863.207,406.79675925925926
862.701,405.0043209876543
863.12,404.8895061728395
863.718,401.1030864197531
864.055,405.98024691358023
863.756,409.9662037037037
864.174,407.02515432098767
864.037,412.93703703703704
864.851,428.1979938271605
864.909,429.96496913580245
864.462,453.8223765432099
865.091,478.7799382716049
864.779,486.47484567901233
865.599,526.7967592592593
865.978,587.2148148148148
865.773,673.0310185185185
865.914,765.583487654321
866.157,1011.9064814814815
866.458,1272.6638888888888
866.308,1458.2364197530865
867.202,1485.137962962963
867.364,1338.2739197530864
867.374,1117.4754629629629
867.804,927.6847222222223
867.987,846.0503086419753
867.553,788.578549382716
868.445,745.141512345679
868.05,745.3830246913581
868.661,764.9120370370371
868.679,768.0736111111111
869.219,753.2237654320987
869.364,690.1929012345679
869.262,628.2282407407407
869.275,597.1191358024691
869.915,582.1413580246914
869.46,577.5722222222222
870.176,564.6975308641976
870.247,543.066975308642
870.198,522.5837962962963
870.255,497.31095679012344
870.514,480.14891975308643
871.099,455.47854938271604
871.027,442.25246913580247
871.009,431.0444444444444
871.548,425.94336419753085
871.706,418.8483024691358
872.077,422.5010802469136
872.671,419.3063271604938
872.751,419.7979938271605
872.817,418.8229938271605
872.818,420.20787037037036
872.76,421.15447530864196
873.323,420.712037037037
872.976,408.00493827160494
873.139,409.86820987654323
873.462,409.2341049382716
874.415,400.5625
874.45,402.8117283950617
874.027,392.91265432098766
874.23,387.6177469135802
874.315,382.81404320987656
875.052,383.31388888888887
875.572,389.66975308641975
875.891,394.5371913580247
875.554,396.08086419753084
876.182,400.72083333333336
875.611,400.14243827160493
875.748,396.4577160493827
876.808,403.0444444444444
877.017,404.9733024691358
876.517,400.858487654321
876.673,394.86836419753087
877.576,398.41975308641975
877.411,390.07345679012343
877.237,391.8081790123457
877.469,394.87623456790124
878.039,404.1091049382716
878.343,401.23595679012345
878.009,410.81095679012344
878.558,405.33996913580245
879.261,419.2418209876543
879.448,429.600462962963
879.626,427.5128086419753
878.859,425.88595679012343
879.169,431.18333333333334
879.707,458.7398148148148
880.041,447.75
880.493,449.2104938271605
880.656,468.32114197530865
880.957,462.63024691358027
881.174,470.60663580246916
881.376,475.6538580246914
880.824,476.3695987654321
881.471,486.3114197530864
881.919,473.4248456790123
881.628,483.92978395061726
881.767,472.49320987654323
882.585,479.2030864197531
882.417,471.7481481481482
882.214,476.0010802469136
883.053,478.14552469135805
882.616,493.1986111111111
883.297,500.8225308641975
883.55,506.2782407407407
883.701,537.8447530864197
883.359,560.4436728395061
884.347,672.3779320987654
884.453,723.362037037037
883.986,745.958487654321
884.537,767.0871913580247
884.684,718.9041666666667
885.327,691.6498456790124
