Energy_TIFF,Energy_TXT
855.55,855.0
854.933,855.2
855.148,855.4
856.09,855.6
855.81,855.8
855.68,856.0
856.04,856.2
856.162,856.4
856.306,856.6
857.164,856.8
856.887,857.0
857.417,857.2
857.158,857.4
857.246,857.6
857.376,857.8
858.041,858.0
857.952,858.2
858.058,858.4
859.058,858.6
859.217,858.8
859.02,859.0
858.876,859.2
859.79,859.4
859.741,859.6
860.214,859.8
860.313,860.0
860.333,860.2
860.78,860.4
860.185,860.6
860.363,860.8
860.951,861.0
861.147,861.2
861.552,861.4
861.964,861.6
861.609,861.8
861.704,862.0
862.414,862.2
862.347,862.4
862.696,862.6
862.343,862.8
863.324,863.0
863.011,863.2
863.652,863.4
863.263,863.6
864.296,863.8
864.039,864.0
864.212,864.2
864.089,864.4
864.208,864.6
864.59,864.8
865.306,865.0
864.911,865.2
865.334,865.4
865.52,865.6
865.378,865.8
865.747,866.0
866.053,866.2
866.1,866.4
866.954,866.6
867.114,866.8
867.362,867.0
866.994,867.2
867.457,867.4
867.834,867.6
867.691,867.8
868.338,868.0
867.832,868.2
868.767,868.4
868.919,868.6
868.596,868.8
868.565,869.0
869.548,869.2
869.123,869.4
869.205,869.6
869.422,869.8
869.629,870.0
870.089,870.2
870.638,870.4
870.207,870.6
870.472,870.8
871.051,871.0
871.498,871.2
871.642,871.4
872.001,871.6
872.011,871.8
871.755,872.0
872.47,872.2
872.661,872.4
872.301,872.6
872.397,872.8
873.095,873.0
873.496,873.2
872.991,873.4
873.405,873.6
873.426,873.8
874.323,874.0
873.82,874.2
874.661,874.4
874.389,874.6
875.182,874.8
875.349,875.0
875.604,875.2
875.7,875.4
875.728,875.6
876.185,875.8
875.98,876.0
875.914,876.2
876.802,876.4
876.463,876.6
876.674,876.8
877.388,877.0
876.969,877.2
877.659,877.4
877.998,877.6
877.551,877.8
878.354,878.0
878.502,878.2
878.384,878.4
878.767,878.6
878.709,878.8
878.683,879.0
879.208,879.2
879.662,879.4
880.0,879.6
879.699,879.8
879.666,880.0
879.732,880.2
880.156,880.4
880.227,880.6
880.333,880.8
881.08,881.0
881.513,881.2
881.405,881.4
881.69,881.6
881.806,881.8
881.696,882.0
882.397,882.2
882.593,882.4
882.816,882.6
882.783,882.8
882.94,883.0
883.434,883.2
882.999,883.4
883.982,883.6
883.888,883.8
883.712,884.0
884.118,884.2
884.717,884.4
884.596,884.6
884.839,884.8
884.542,885.0
