Energy_TIFF,Energy_TXT
459.953,460.0
460.327,460.2
460.513,460.4
460.928,460.6
461.023,460.8
461.122,461.0
461.583,461.2
461.515,461.4
461.775,461.6
462.114,461.8
462.19,462.0
462.586,462.2
462.57,462.4
462.904,462.6
463.21,462.8
463.156,463.0
463.351,463.2
463.705,463.4
463.969,463.6
464.09,463.8
464.115,464.0
464.511,464.2
464.667,464.4
464.856,464.6
464.919,464.8
465.26,465.0
465.332,465.2
465.742,465.4
465.87,465.6
466.21,465.8
466.308,466.0
466.552,466.2
466.764,466.4
466.952,466.6
467.042,466.8
467.221,467.0
467.333,467.2
467.573,467.4
467.724,467.6
468.006,467.8
468.406,468.0
468.412,468.2
468.551,468.4
468.978,468.6
469.174,468.8
469.428,469.0
469.62,469.2
469.527,469.4
469.934,469.6
470.139,469.8
470.158,470.0
470.463,470.2
470.73,470.4
470.967,470.6
470.983,470.8
471.415,471.0
471.578,471.2
471.721,471.4
472.016,471.6
472.205,471.8
472.377,472.0
472.563,472.2
472.743,472.4
472.786,472.6
473.175,472.8
473.248,473.0
473.37,473.2
473.754,473.4
473.717,473.6
474.216,473.8
474.244,474.0
474.343,474.2
474.789,474.4
474.994,474.6
475.14,474.8
475.44,475.0
475.46,475.2
475.826,475.4
476.056,475.6
475.935,475.8
476.393,476.0
476.634,476.2
476.687,476.4
476.957,476.6
477.248,476.8
477.431,477.0
477.476,477.2
477.528,477.4
477.72,477.6
477.97,477.8
478.257,478.0
478.321,478.2
478.663,478.4
478.749,478.6
479.143,478.8
479.094,479.0
479.481,479.2
479.533,479.4
480.013,479.6
480.184,479.8
480.406,480.0
480.468,480.2
480.75,480.4
480.741,480.6
480.926,480.8
481.335,481.0
481.52,481.2
481.765,481.4
481.969,481.6
482.004,481.8
482.126,482.0
482.511,482.2
482.79,482.4
482.732,482.6
483.231,482.8
483.144,483.0
483.368,483.2
483.547,483.4
483.882,483.6
484.233,483.8
484.455,484.0
484.644,484.2
484.756,484.4
484.787,484.6
485.241,484.8
485.396,485.0
485.327,485.2
485.688,485.4
485.988,485.6
486.251,485.8
486.159,486.0
486.435,486.2
486.83,486.4
486.699,486.6
487.085,486.8
487.245,487.0
487.647,487.2
487.82,487.4
487.931,487.6
487.912,487.8
488.44,488.0
488.547,488.2
488.521,488.4
488.995,488.6
489.077,488.8
489.113,489.0
489.309,489.2
489.818,489.4
490.057,489.6
489.954,489.8
490.161,490.0
490.361,490.2
490.507,490.4
490.755,490.6
491.152,490.8
491.137,491.0
491.592,491.2
491.507,491.4
491.723,491.6
491.912,491.8
492.332,492.0
492.599,492.2
492.562,492.4
492.727,492.6
493.228,492.8
493.12,493.0
493.662,493.2
493.553,493.4
494.077,493.6
493.989,493.8
494.144,494.0
494.409,494.2
494.596,494.4
494.826,494.6
494.932,494.8
495.262,495.0
495.321,495.2
495.801,495.4
496.059,495.6
496.189,495.8
496.154,496.0
496.594,496.2
496.563,496.4
496.886,496.6
497.183,496.8
497.404,497.0
497.352,497.2
497.797,497.4
497.95,497.6
498.209,497.8
498.255,498.0
498.543,498.2
498.863,498.4
498.715,498.6
499.232,498.8
499.203,499.0
499.519,499.2
499.875,499.4
499.771,499.6
500.019,499.8
500.156,500.0
500.461,500.2
500.566,500.4
500.749,500.6
501.139,500.8
501.456,501.0
501.338,501.2
501.877,501.4
502.022,501.6
501.972,501.8
502.397,502.0
502.404,502.2
502.512,502.4
502.763,502.6
503.213,502.8
503.266,503.0
503.674,503.2
503.604,503.4
503.965,503.6
503.906,503.8
504.154,504.0
504.57,504.2
504.527,504.4
504.735,504.6
504.924,504.8
505.442,505.0
