# Energy (eV)	Intensity
700.000000	1614361.000000
700.300000	1605639.000000
700.600000	1600690.000000
700.900000	1599504.000000
701.200000	1593129.000000
701.500000	1589528.000000
701.800000	1591741.000000
702.100000	1583180.000000
702.400000	1579605.000000
702.700000	1578430.000000
703.000000	1568669.000000
703.100000	1572488.000000
703.200000	1575847.000000
703.300000	1576877.000000
703.400000	1571857.000000
703.500000	1576875.000000
703.600000	1567990.000000
703.700000	1572883.000000
703.800000	1568808.000000
703.900000	1568197.000000
704.000000	1566343.000000
704.100000	1566549.000000
704.200000	1561468.000000
704.300000	1563202.000000
704.400000	1562532.000000
704.500000	1562936.000000
704.600000	1560795.000000
704.700000	1563848.000000
704.800000	1561566.000000
704.900000	1556589.000000
705.000000	1553463.000000
705.100000	1554375.000000
705.200000	1553346.000000
705.300000	1551529.000000
705.400000	1548601.000000
705.500000	1549582.000000
705.600000	1544193.000000
705.700000	1545072.000000
705.800000	1545617.000000
705.900000	1546185.000000
706.000000	1540465.000000
706.100000	1538860.000000
706.200000	1540244.000000
706.300000	1543368.000000
706.400000	1542171.000000
706.500000	1537607.000000
706.600000	1534481.000000
706.700000	1534563.000000
706.800000	1532460.000000
706.900000	1532283.000000
707.000000	1528259.000000
707.100000	1527855.000000
707.200000	1529198.000000
707.300000	1528038.000000
707.400000	1525243.000000
707.500000	1531876.000000
707.600000	1530889.000000
707.700000	1528051.000000
707.800000	1536037.000000
707.900000	1535326.000000
708.000000	1537135.000000
708.100000	1527128.000000
708.200000	1538509.000000
708.300000	1542719.000000
708.400000	1543682.000000
708.500000	1543244.000000
708.600000	1539354.000000
708.700000	1545171.000000
708.800000	1540072.000000
708.900000	1540408.000000
709.000000	1542012.000000
709.100000	1547079.000000
709.200000	1550313.000000
709.300000	1544614.000000
709.400000	1549914.000000
709.500000	1548474.000000
709.600000	1545872.000000
709.700000	1546532.000000
709.800000	1545669.000000
709.900000	1539792.000000
710.000000	1538416.000000
710.100000	1536140.000000
710.200000	1530197.000000
710.300000	1532155.000000
710.400000	1522501.000000
710.500000	1527050.000000
710.600000	1526575.000000
710.700000	1527353.000000
710.800000	1527252.000000
710.900000	1525551.000000
711.000000	1519816.000000
711.100000	1520650.000000
711.200000	1518438.000000
