# Energy (eV)	Intensity
700.000000	55025816.000000
700.300000	54781324.000000
700.600000	54583714.000000
700.900000	54500098.000000
701.200000	54264515.000000
701.500000	54088729.000000
701.800000	54190294.000000
702.100000	53943209.000000
702.400000	53886742.000000
702.700000	53714726.000000
703.000000	53744483.000000
703.100000	53733229.000000
703.200000	53620783.000000
703.300000	53615017.000000
703.400000	53694937.000000
703.500000	53766151.000000
703.600000	53845982.000000
703.700000	53461258.000000
703.800000	53631430.000000
703.900000	53615731.000000
704.000000	53900429.000000
704.100000	53670738.000000
704.200000	53662884.000000
704.300000	53629632.000000
704.400000	53791072.000000
704.500000	53761330.000000
704.600000	53623926.000000
704.700000	53758278.000000
704.800000	53741759.000000
704.900000	53735809.000000
705.000000	53789492.000000
705.100000	53692977.000000
705.200000	53689722.000000
705.300000	53605282.000000
705.400000	53695811.000000
705.500000	53764174.000000
705.600000	53651252.000000
705.700000	53760692.000000
705.800000	53719409.000000
705.900000	54027359.000000
706.000000	54255599.000000
706.100000	54563918.000000
706.200000	54951805.000000
706.300000	55710624.000000
706.400000	56268605.000000
706.500000	57206426.000000
706.600000	58130309.000000
706.700000	59186627.000000
706.800000	60431276.000000
706.900000	61781670.000000
707.000000	63009120.000000
707.100000	63850555.000000
707.200000	65737685.000000
707.300000	67304667.000000
707.400000	68821845.000000
707.500000	69771536.000000
707.600000	70901508.000000
707.700000	71849477.000000
707.800000	72826367.000000
707.900000	73140334.000000
708.000000	73921101.000000
708.100000	73818207.000000
708.200000	73504600.000000
708.300000	72922810.000000
708.400000	72429678.000000
708.500000	72259105.000000
708.600000	72547660.000000
708.700000	73165636.000000
708.800000	74114022.000000
708.900000	75789111.000000
709.000000	77250195.000000
709.100000	79139566.000000
709.200000	79983975.000000
709.300000	81661069.000000
709.400000	82145078.000000
709.500000	82221464.000000
709.600000	81909818.000000
709.700000	80950906.000000
709.800000	79535995.000000
709.900000	77797037.000000
710.000000	75916030.000000
710.100000	74084306.000000
710.200000	72543977.000000
710.300000	70653762.000000
710.400000	69233141.000000
710.500000	68235918.000000
710.600000	67136458.000000
710.700000	66402804.000000
710.800000	65567481.000000
710.900000	64956936.000000
711.000000	64235873.000000
711.100000	63724266.000000
711.200000	63164683.000000
711.300000	62562121.000000
711.400000	62122722.000000
711.500000	61861867.000000
711.600000	61814090.000000
711.700000	61600930.000000
711.800000	61246970.000000
711.900000	60975469.000000
712.000000	60776123.000000
712.100000	60588536.000000
712.200000	60362466.000000
712.300000	60222555.000000
712.400000	59837418.000000
712.500000	59762290.000000
712.600000	59619841.000000
712.700000	59314194.000000
712.800000	59171751.000000
712.900000	58992774.000000
713.000000	58655373.000000
713.100000	58719834.000000
713.200000	58489210.000000
713.300000	58311275.000000
713.400000	58152221.000000
713.500000	57793904.000000
713.600000	57702816.000000
713.700000	57636573.000000
713.800000	57308335.000000
713.900000	57146974.000000
714.500000	56319631.000000
715.000000	55767467.000000
715.500000	55386549.000000
716.000000	55166395.000000
716.500000	54829043.000000
717.000000	54350111.000000
717.500000	53846328.000000
718.000000	53816535.000000
718.100000	53728609.000000
718.200000	53719188.000000
718.300000	53785809.000000
718.400000	53763853.000000
718.500000	53515067.000000
718.600000	53583679.000000
718.700000	53712791.000000
718.800000	53831878.000000
718.900000	53884796.000000
719.000000	53943648.000000
719.100000	54050269.000000
719.200000	54401036.000000
719.300000	54685098.000000
719.400000	54900181.000000
719.500000	55139261.000000
719.600000	55382153.000000
719.700000	55594300.000000
719.800000	55974246.000000
719.900000	56131628.000000
720.000000	56346485.000000
720.100000	56694419.000000
720.200000	56796596.000000
720.300000	57130312.000000
720.400000	57630185.000000
720.500000	57806946.000000
720.600000	58041412.000000
720.700000	58433911.000000
720.800000	58606866.000000
720.900000	59006666.000000
721.000000	58946355.000000
721.100000	58925106.000000
721.200000	58953514.000000
721.300000	58689960.000000
721.400000	58667467.000000
721.500000	58375009.000000
721.600000	58230070.000000
721.700000	58112299.000000
721.800000	57905882.000000
721.900000	57833272.000000
722.000000	57526569.000000
722.100000	57663152.000000
722.200000	57554539.000000
722.300000	57482462.000000
722.400000	57613743.000000
722.500000	57607210.000000
722.600000	57609169.000000
722.700000	57672773.000000
722.800000	57473421.000000
722.900000	57424424.000000
723.000000	57444621.000000
723.100000	57549509.000000
723.200000	57288636.000000
723.300000	57005355.000000
723.400000	56775810.000000
723.500000	56543891.000000
723.600000	56235023.000000
723.700000	56065546.000000
723.800000	55791292.000000
723.900000	55709085.000000
724.000000	55593355.000000
724.100000	55288267.000000
724.200000	55032739.000000
724.300000	54971369.000000
724.400000	54707869.000000
724.500000	54421704.000000
724.600000	54175159.000000
724.700000	53847149.000000
724.800000	53742537.000000
724.900000	53693467.000000
725.000000	53515188.000000
725.100000	53352029.000000
725.200000	53274883.000000
725.300000	52988894.000000
725.400000	52984606.000000
725.500000	52897605.000000
725.600000	52622988.000000
725.700000	52707491.000000
725.800000	52669243.000000
725.900000	52453466.000000
726.000000	52448252.000000
726.100000	52334788.000000
726.200000	52170518.000000
726.300000	52150907.000000
726.400000	52018503.000000
726.500000	51915857.000000
726.600000	51944694.000000
726.700000	51870158.000000
726.800000	51548053.000000
726.900000	51711158.000000
727.000000	51662435.000000
727.100000	51468838.000000
727.200000	51492178.000000
727.300000	51503813.000000
727.400000	51527359.000000
727.500000	51469465.000000
727.600000	51343111.000000
727.700000	51224394.000000
727.800000	51227773.000000
727.900000	51188917.000000
728.000000	51136192.000000
728.100000	51103141.000000
728.200000	51026533.000000
728.300000	50802872.000000
728.400000	50789203.000000
728.500000	50867010.000000
728.600000	50846451.000000
728.700000	50649436.000000
