# Energy (eV)	Intensity
700.000000	545856.000000
700.300000	541178.000000
700.600000	540567.000000
700.900000	539892.000000
701.200000	538106.000000
701.500000	535793.000000
701.800000	534917.000000
702.100000	533652.000000
702.400000	533723.000000
702.700000	533620.000000
703.000000	530075.000000
703.100000	530581.000000
703.200000	533476.000000
703.300000	533330.000000
703.400000	533214.000000
703.500000	533532.000000
703.600000	532777.000000
703.700000	532685.000000
703.800000	533192.000000
703.900000	531473.000000
704.000000	533398.000000
704.100000	534536.000000
704.200000	531592.000000
704.300000	532438.000000
704.400000	534415.000000
704.500000	535597.000000
704.600000	535101.000000
704.700000	534707.000000
704.800000	535590.000000
704.900000	534646.000000
705.000000	537269.000000
705.100000	537721.000000
705.200000	540686.000000
705.300000	542047.000000
705.400000	541003.000000
705.500000	542387.000000
705.600000	545972.000000
705.700000	550439.000000
705.800000	556128.000000
705.900000	562703.000000
706.000000	569754.000000
706.100000	580625.000000
706.200000	599402.000000
706.300000	626760.000000
706.400000	658438.000000
706.500000	689626.000000
706.600000	728177.000000
706.700000	770507.000000
706.800000	819620.000000
706.900000	861463.000000
707.000000	903384.000000
707.100000	961740.000000
707.200000	1007965.000000
707.300000	1069890.000000
707.400000	1106613.000000
707.500000	1165080.000000
707.600000	1201483.000000
707.700000	1230042.000000
707.800000	1260696.000000
707.900000	1289294.000000
708.000000	1299865.000000
708.100000	1299056.000000
708.200000	1285255.000000
708.300000	1269521.000000
708.400000	1254675.000000
708.500000	1253419.000000
708.600000	1260969.000000
708.700000	1290571.000000
708.800000	1314634.000000
708.900000	1379199.000000
709.000000	1422730.000000
709.100000	1481808.000000
709.200000	1532108.000000
709.300000	1568689.000000
709.400000	1587544.000000
709.500000	1591053.000000
709.600000	1575014.000000
709.700000	1543497.000000
709.800000	1500824.000000
709.900000	1426416.000000
710.000000	1372477.000000
710.100000	1295900.000000
710.200000	1248716.000000
710.300000	1182095.000000
710.400000	1135675.000000
710.500000	1101039.000000
710.600000	1065008.000000
710.700000	1031825.000000
710.800000	1007843.000000
710.900000	983810.000000
711.000000	963010.000000
711.100000	942166.000000
711.200000	921509.000000
711.300000	903935.000000
711.400000	890072.000000
711.500000	879534.000000
711.600000	868116.000000
711.700000	856686.000000
711.800000	849387.000000
711.900000	840618.000000
712.000000	832521.000000
712.100000	825726.000000
712.200000	822626.000000
712.300000	815580.000000
712.400000	810501.000000
712.500000	800926.000000
712.600000	797413.000000
712.700000	790625.000000
712.800000	785824.000000
712.900000	777676.000000
713.000000	771153.000000
713.100000	766758.000000
713.200000	758423.000000
713.300000	753145.000000
713.400000	745215.000000
713.500000	740282.000000
713.600000	736439.000000
713.700000	730912.000000
713.800000	726513.000000
713.900000	721592.000000
714.500000	696648.000000
715.000000	682542.000000
715.500000	674458.000000
716.000000	667125.000000
716.500000	657998.000000
717.000000	644615.000000
717.500000	634934.000000
718.000000	630600.000000
718.100000	630040.000000
718.200000	630636.000000
718.300000	631455.000000
718.400000	630045.000000
718.500000	630583.000000
718.600000	635023.000000
718.700000	638090.000000
718.800000	637256.000000
718.900000	641343.000000
719.000000	649134.000000
719.100000	656521.000000
719.200000	667108.000000
719.300000	681361.000000
719.400000	692697.000000
719.500000	704684.000000
719.600000	718711.000000
719.700000	733176.000000
719.800000	745000.000000
719.900000	750086.000000
720.000000	761781.000000
720.100000	772322.000000
720.200000	781952.000000
720.300000	791229.000000
720.400000	802215.000000
720.500000	815268.000000
720.600000	827664.000000
720.700000	839232.000000
720.800000	847085.000000
